kind,a,ring,col,family,series,code,hex,x,y
seam@red-violet,294.2,0,56,violet,V0,V09,#7E2D82,569,723
seam@red-violet,294.2,1,56,violet,V0,V06,#AD67A6,592,671
seam@red-violet,295.8,0,57,red-violet,RV9,RV99,#614D4F,587,731
seam@red-violet,295.8,1,57,red-violet,RV9,RV95,#BC8797,611,680
seam@red,334.2,0,64,red-violet,RV0,RV09,#D2399A,909,1053
seam@red,334.2,1,64,red-violet,RV0,RV06,#E55DB1,960,1029
centre,292.5,0,56,violet,V0,V09,#7E2D82,550,715
ring1,292.5,1,56,violet,V0,V06,#AD67A6,572,663
ring2,292.5,2,56,violet,V0,V05,#C48BBD,593,611
ring4,292.5,4,56,violet,V0,V01,#E5C4DE,636,507
ring6,292.5,6,56,violet,V0,V0000,#FAEEF7,679,403
centre,297.5,0,57,red-violet,RV9,RV99,#614D4F,605,740
ring1,297.5,1,57,red-violet,RV9,RV95,#BC8797,631,690
ring2,297.5,2,57,red-violet,RV9,RV93,#E0B0BC,657,640
centre,302.5,0,58,red-violet,RV6,RV69,#81494A,658,770
ring1,302.5,1,58,red-violet,RV6,RV66,#A95C8D,688,723
ring2,302.5,2,58,red-violet,RV6,RV63,#E8AFD8,718,676
centre,307.5,0,59,red-violet,RV5,RV55,#E485B6,707,805
ring1,307.5,1,59,red-violet,RV5,RV52,#F9C9DE,741,760
centre,312.5,0,60,red-violet,RV4,RV42,#FFA79B,753,844
centre,317.5,0,61,red-violet,RV3,RV34,#DD7C9C,796,887
ring1,317.5,1,61,red-violet,RV3,RV32,#F4ABB4,838,849
centre,322.5,0,62,red-violet,RV2,RV29,#D72866,835,933
ring1,322.5,1,62,red-violet,RV2,RV25,#EF7DA3,880,899
ring2,322.5,2,62,red-violet,RV2,RV23,#F8B4CB,924,865
centre,327.5,0,63,red-violet,RV1,RV19,#AD2972,870,982
ring1,327.5,1,63,red-violet,RV1,RV17,#C5428A,917,952
ring2,327.5,2,63,red-violet,RV1,RV14,#EE6EA9,964,922
ring4,327.5,4,63,red-violet,RV1,RV11,#F8C2DB,1059,862
centre,332.5,0,64,red-violet,RV0,RV09,#D2399A,900,1035
ring1,332.5,1,64,red-violet,RV0,RV06,#E55DB1,950,1009
ring2,332.5,2,64,red-violet,RV0,RV04,#EF87C8,1000,983
ring4,332.5,4,64,red-violet,RV0,RV00,#F7D3EC,1099,931
ring6,332.5,6,64,red-violet,RV0,RV0000,#FDF2FA,1199,879
