kind,a,ring,col,family,series,code,hex,x,y
seam@blue-green,164.2,0,30,green,G0,G09,#139828,1928,1543
seam@blue-green,164.2,1,30,green,G0,G07,#32B444,1874,1559
seam@blue-green,165.8,0,31,blue-green,BG9,BG99,#39694E,1923,1525
seam@blue-green,165.8,1,31,blue-green,BG9,BG96,#689C7F,1869,1539
seam@blue,204.2,0,38,blue-green,BG0,BG09,#00878E,1963,1071
seam@blue,204.2,1,38,blue-green,BG0,BG07,#00939F,1911,1048
seam@blue,205.8,0,39,blue,B9,B99,#445465,1971,1053
seam@blue,205.8,1,39,blue,B9,B97,#49768F,1920,1029
seam@blue-violet,249.2,0,47,blue,B0,B06,#0085CC,2349,707
seam@blue-violet,249.2,1,47,blue,B0,B05,#1E9CD1,2329,654
seam@blue-violet,250.8,0,48,blue-violet,BV9,BV99,#222838,2367,700
seam@blue-violet,250.8,1,48,blue-violet,BV9,BV97,#3E485E,2348,647
seam@violet,274.2,0,52,blue-violet,BV0,BV08,#6850AA,2646,664
seam@violet,274.2,1,52,blue-violet,BV0,BV04,#8774C4,2650,608
seam@violet,275.8,0,53,violet,V9,V99,#261B2A,2665,665
seam@violet,275.8,1,53,violet,V9,V95,#775775,2670,609
centre,147.5,0,27,green,G4,G46,#67A950,2010,1727
centre,152.5,0,28,green,G2,G29,#456150,1980,1675
ring1,152.5,1,28,green,G2,G28,#00793C,1930,1701
ring2,152.5,2,28,green,G2,G24,#96CA9A,1880,1727
centre,157.5,0,29,green,G1,G19,#009D43,1955,1620
ring1,157.5,1,29,green,G1,G17,#37B54A,1903,1641
ring2,157.5,2,29,green,G1,G16,#1BB55C,1851,1663
ring4,157.5,4,29,green,G1,G12,#CEE8CB,1747,1706
centre,162.5,0,30,green,G0,G09,#139828,1934,1563
ring1,162.5,1,30,green,G0,G07,#32B444,1880,1580
ring2,162.5,2,30,green,G0,G05,#61C86C,1827,1597
ring4,162.5,4,30,green,G0,G02,#A1DBA7,1720,1631
ring6,162.5,6,30,green,G0,G000,#DEF2E0,1612,1665
centre,167.5,0,31,blue-green,BG9,BG99,#39694E,1918,1505
ring1,167.5,1,31,blue-green,BG9,BG96,#689C7F,1863,1517
ring2,167.5,2,31,blue-green,BG9,BG93,#9DC2AB,1809,1529
centre,172.5,0,32,blue-green,BG7,BG78,#356A64,1908,1445
ring1,172.5,1,32,blue-green,BG7,BG75,#679B94,1852,1453
ring2,172.5,2,32,blue-green,BG7,BG72,#9BC2BC,1796,1460
centre,177.5,0,33,blue-green,BG5,BG57,#3CB0C1,1902,1385
ring1,177.5,1,33,blue-green,BG5,BG53,#87CBD4,1846,1387
centre,182.5,0,34,blue-green,BG4,BG49,#009FAE,1902,1325
ring1,182.5,1,34,blue-green,BG4,BG45,#6AC9D6,1846,1322
centre,187.5,0,35,blue-green,BG3,BG34,#66C4B8,1908,1264
ring1,187.5,1,35,blue-green,BG3,BG32,#97D6CD,1852,1257
centre,192.5,0,36,blue-green,BG2,BG23,#7BDEC1,1918,1205
centre,197.5,0,37,blue-green,BG1,BG18,#408784,1934,1146
ring1,197.5,1,37,blue-green,BG1,BG15,#00BFA4,1880,1129
ring2,197.5,2,37,blue-green,BG1,BG13,#3ED1B9,1827,1113
ring4,197.5,4,37,blue-green,BG1,BG10,#D7F3E3,1720,1079
centre,202.5,0,38,blue-green,BG0,BG09,#00878E,1955,1090
ring1,202.5,1,38,blue-green,BG0,BG07,#00939F,1903,1068
ring2,202.5,2,38,blue-green,BG0,BG05,#00BACB,1851,1047
ring4,202.5,4,38,blue-green,BG0,BG01,#85E6EA,1747,1004
ring6,202.5,6,38,blue-green,BG0,BG0000,#EAF9F0,1643,961
centre,207.5,0,39,blue,B9,B99,#445465,1980,1035
ring1,207.5,1,39,blue,B9,B97,#49768F,1930,1009
ring2,207.5,2,39,blue,B9,B95,#64A6C2,1880,983
ring4,207.5,4,39,blue,B9,B91,#B3DAE4,1781,931
centre,212.5,0,40,blue,B7,B79,#27386E,2010,982
centre,217.5,0,41,blue,B6,B69,#2A3B68,2045,933
ring1,217.5,1,41,blue,B6,B66,#4C5C8E,2000,899
ring2,217.5,2,41,blue,B6,B63,#8797C4,1956,865
centre,222.5,0,42,blue,B5,B52,#859EC9,2084,887
centre,227.5,0,43,blue,B4,B45,#4F7CC4,2127,844
ring1,227.5,1,43,blue,B4,B41,#B5CCED,2089,802
centre,232.5,0,44,blue,B3,B39,#184768,2173,805
ring1,232.5,1,44,blue,B3,B37,#1C638A,2139,760
ring2,232.5,2,44,blue,B3,B34,#63AFD1,2105,716
centre,237.5,0,45,blue,B2,B29,#00438C,2222,770
ring1,237.5,1,45,blue,B2,B28,#1759A1,2192,723
ring2,237.5,2,45,blue,B2,B26,#2B7EC0,2162,676
ring4,237.5,4,45,blue,B2,B23,#76B1DD,2102,581
centre,242.5,0,46,blue,B1,B18,#007BBD,2275,740
ring1,242.5,1,46,blue,B1,B16,#00A3DF,2249,690
ring2,242.5,2,46,blue,B1,B14,#5BBFE6,2223,640
centre,247.5,0,47,blue,B0,B06,#0085CC,2330,715
ring1,247.5,1,47,blue,B0,B05,#1E9CD1,2308,663
ring2,247.5,2,47,blue,B0,B04,#4CB3DC,2287,611
ring4,247.5,4,47,blue,B0,B01,#A1D9EE,2244,507
ring6,247.5,6,47,blue,B0,B000,#D9F0F7,2201,403
centre,252.5,0,48,blue-violet,BV9,BV99,#222838,2386,694
ring1,252.5,1,48,blue-violet,BV9,BV97,#3E485E,2369,640
ring2,252.5,2,48,blue-violet,BV9,BV95,#63708A,2353,587
ring4,252.5,4,48,blue-violet,BV9,BV91,#D2D9E6,2319,480
centre,257.5,0,49,blue-violet,BV3,BV39,#36374F,2445,678
ring1,257.5,1,49,blue-violet,BV3,BV34,#8F93A8,2433,623
ring2,257.5,2,49,blue-violet,BV3,BV31,#CAD2E3,2420,569
centre,262.5,0,50,blue-violet,BV2,BV29,#1B2C45,2504,668
ring1,262.5,1,50,blue-violet,BV2,BV25,#7280A3,2497,612
ring2,262.5,2,50,blue-violet,BV2,BV23,#9AA5C4,2490,556
centre,267.5,0,51,blue-violet,BV1,BV17,#595EB4,2565,662
ring1,267.5,1,51,blue-violet,BV1,BV13,#6A88C2,2562,606
ring2,267.5,2,51,blue-violet,BV1,BV11,#A4A2C3,2560,550
centre,272.5,0,52,blue-violet,BV0,BV08,#6850AA,2625,662
ring1,272.5,1,52,blue-violet,BV0,BV04,#8774C4,2627,606
ring2,272.5,2,52,blue-violet,BV0,BV02,#A998DA,2630,550
ring4,272.5,4,52,blue-violet,BV0,BV00,#DED3F2,2635,438
ring6,272.5,6,52,blue-violet,BV0,BV0000,#F4EFFA,2640,326
centre,277.5,0,53,violet,V9,V99,#261B2A,2685,668
ring1,277.5,1,53,violet,V9,V95,#775775,2693,612
ring2,277.5,2,53,violet,V9,V93,#A68CA2,2700,556
centre,282.5,0,54,violet,V2,V28,#5B3C67,2745,678
ring1,282.5,1,54,violet,V2,V25,#7F598B,2757,623
ring2,282.5,2,54,violet,V2,V22,#B395BD,2769,569
centre,287.5,0,55,violet,V1,V17,#633D73,2803,694
