kind,a,ring,col,family,series,code,hex,x,y
seam@green,134.2,0,24,yellow-green,YG0,YG09,#81B835,2112,863
seam@green,134.2,1,24,yellow-green,YG0,YG07,#9FCD34,2072,903
seam@green,135.8,0,25,green,G9,G99,#3B5C2A,2098,849
seam@green,135.8,1,25,green,G9,G97,#52783D,2058,888
centre,117.5,0,21,yellow-green,YG4,YG45,#8EC449,2275,981
ring1,117.5,1,21,yellow-green,YG4,YG41,#CEE9D6,2249,1030
centre,122.5,0,22,yellow-green,YG2,YG25,#D6E969,2222,950
ring1,122.5,1,22,yellow-green,YG2,YG23,#E7F394,2192,998
ring2,122.5,2,22,yellow-green,YG2,YG21,#F5FBBF,2162,1045
centre,127.5,0,23,yellow-green,YG1,YG17,#95C635,2173,916
ring1,127.5,1,23,yellow-green,YG1,YG13,#CDE497,2139,960
ring2,127.5,2,23,yellow-green,YG1,YG11,#E0F0C7,2105,1005
centre,132.5,0,24,yellow-green,YG0,YG09,#81B835,2127,877
ring1,132.5,1,24,yellow-green,YG0,YG07,#9FCD34,2089,918
ring2,132.5,2,24,yellow-green,YG0,YG06,#90D94B,2051,960
ring4,132.5,4,24,yellow-green,YG0,YG03,#CAE37C,1975,1043
ring6,132.5,6,24,yellow-green,YG0,YG00,#E8F3C4,1899,1125
centre,137.5,0,25,green,G9,G99,#3B5C2A,2084,834
ring1,137.5,1,25,green,G9,G97,#52783D,2042,872
ring2,137.5,2,25,green,G9,G95,#77995C,2001,910
ring4,137.5,4,25,green,G9,G93,#A7C48C,1918,986
