idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
15,seam Y|YG,19,1,YG97,#63783A,81,1087,#63783A,#63783A,1,1
16,centre,0,0,YR82,#E0A068,962,516,#E0A068,#E0A068,1,1
17,centre,1,0,YR68,#E85309,946,574,#E85309,#E85309,1,1
18,centre,2,0,YR31,#F7D391,925,631,#F7D391,#F7D391,1,1
19,centre,3,0,YR27,#DF621B,900,686,#DF621B,#DF621B,1,1
20,centre,4,0,YR18,#F48800,870,738,#F48800,#F48800,1,1
21,centre,5,0,YR09,#F1640A,835,788,#F1640A,#F1640A,1,1
22,centre,6,0,E99,#5C310C,796,834,#5C310C,#5C310C,1,1
23,centre,7,0,E89,#58101A,753,877,#58101A,#58101A,1,1
24,centre,8,0,E79,#48203C,707,916,#48203C,#48203C,1,1
25,centre,9,0,E59,#5A2512,658,950,#5A2512,#5A2512,1,1
26,centre,10,0,E49,#442216,605,981,#442216,#442216,1,1
27,centre,11,0,E39,#633215,550,1006,#633215,#633215,1,1
28,centre,12,0,E29,#5F2710,494,1027,#5F2710,#5F2710,1,1
29,centre,13,0,E19,#AA3110,435,1042,#AA3110,#AA3110,1,1
30,centre,14,0,E09,#952A12,376,1053,#952A12,#952A12,1,1
31,centre,15,0,Y38,#E69D37,315,1058,#E69D37,#E69D37,1,1
32,centre,16,0,Y28,#DFB768,255,1058,#DFB768,#DFB768,1,1
33,centre,17,0,Y19,#FFC125,195,1053,#FFC125,#FFC125,1,1
34,centre,18,0,Y08,#FDE000,135,1042,#FDE000,#FDE000,1,1
35,centre,19,0,YG99,#4C5C2D,77,1027,#4C5C2D,#4C5C2D,1,1
36,centre,66,0,R59,#9D2238,946,158,#9D2238,#9D2238,1,1
37,centre,67,0,R46,#D91D3C,962,216,#D91D3C,#D91D3C,1,1
38,centre,68,0,R39,#B3224B,972,276,#B3224B,#B3224B,1,1
39,centre,69,0,R29,#E10619,978,336,#E10619,#E10619,1,1
40,centre,70,0,R17,#EE543C,978,396,#EE543C,#EE543C,1,1
41,centre,71,0,R08,#F43333,972,456,#F43333,#F43333,1,1
42,radial E0,14,1,E08,#AD4025,383,1109,#AD4025,#AD4025,1,1
43,radial E0,14,2,E07,#BD533B,390,1164,#BD533B,#BD533B,1,1
44,radial E0,14,3,E04,#BE8C89,398,1220,#BE8C89,#BE8C89,1,1
45,radial E0,14,4,E02,#F2BD9D,405,1276,#F2BD9D,#F2BD9D,1,1
46,radial E0,14,5,E01,#F8D2B8,412,1332,#F8D2B8,#F8D2B8,1,1
47,radial E0,14,6,E00,#FBE2CF,420,1387,#FBE2CF,#FBE2CF,1,1
48,radial E0,14,7,E000,#FCEEE2,427,1443,#FCEEE2,#FCEEE2,1,1
49,radial E0,14,8,E0000,#FEF7F1,434,1499,#FEF7F1,#FEF7F1,1,1
50,ring 2,1,2,YR61,#FFC4A3,1053,608,#FFC4A3,#FFC4A3,1,1
51,ring 2,3,2,YR23,#F4BA6D,1000,738,#F4BA6D,#F4BA6D,1,1
52,ring 4,3,4,YR20,#FFDCAE,1099,790,#FFDCAE,#FFDCAE,1,1
