idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
1,seam@red-violet,56,0,V09,#7E2D82,569,723,#7E2D82,#7E2D82,1,1
2,seam@red-violet,56,1,V06,#AD67A6,592,671,#AD67A6,#AD67A6,1,1
3,seam@red-violet,57,0,RV99,#614D4F,587,731,#614D4F,#614D4F,1,1
4,seam@red-violet,57,1,RV95,#BC8797,611,680,#BC8797,#BC8797,1,1
5,seam@red,64,0,RV09,#D2399A,909,1053,#D2399A,#D2399A,1,1
6,seam@red,64,1,RV06,#E55DB1,960,1029,#E55DB1,#E55DB1,1,1
7,centre,56,0,V09,#7E2D82,550,715,#7E2D82,#7E2D82,1,1
8,ring1,56,1,V06,#AD67A6,572,663,#AD67A6,#AD67A6,1,1
9,ring2,56,2,V05,#C48BBD,593,611,#C48BBD,#C48BBD,1,1
10,ring4,56,4,V01,#E5C4DE,636,507,#E5C4DE,#E5C4DE,1,1
11,ring6,56,6,V0000,#FAEEF7,679,403,#FAEEF7,#FAEEF7,1,1
12,centre,57,0,RV99,#614D4F,605,740,#614D4F,#614D4F,1,1
13,ring1,57,1,RV95,#BC8797,631,690,#BC8797,#BC8797,1,1
14,ring2,57,2,RV93,#E0B0BC,657,640,#E0B0BC,#E0B0BC,1,1
15,centre,58,0,RV69,#81494A,658,770,#81494A,#81494A,1,1
16,ring1,58,1,RV66,#A95C8D,688,723,#A95C8D,#A95C8D,1,1
17,ring2,58,2,RV63,#E8AFD8,718,676,#E8AFD8,#E8AFD8,1,1
18,centre,59,0,RV55,#E485B6,707,805,#E485B6,#E485B6,1,1
19,ring1,59,1,RV52,#F9C9DE,741,760,#F9C9DE,#F9C9DE,1,1
20,centre,60,0,RV42,#FFA79B,753,844,#FFA79B,#FFA79B,1,1
21,centre,61,0,RV34,#DD7C9C,796,887,#DD7C9C,#DD7C9C,1,1
22,ring1,61,1,RV32,#F4ABB4,838,849,#F4ABB4,#F4ABB4,1,1
23,centre,62,0,RV29,#D72866,835,933,#D72866,#D72866,1,1
24,ring1,62,1,RV25,#EF7DA3,880,899,#EF7DA3,#EF7DA3,1,1
25,ring2,62,2,RV23,#F8B4CB,924,865,#F8B4CB,#F8B4CB,1,1
26,centre,63,0,RV19,#AD2972,870,982,#AD2972,#AD2972,1,1
27,ring1,63,1,RV17,#C5428A,917,952,#C5428A,#C5428A,1,1
28,ring2,63,2,RV14,#EE6EA9,964,922,#EE6EA9,#EE6EA9,1,1
29,ring4,63,4,RV11,#F8C2DB,1059,862,#F8C2DB,#F8C2DB,1,1
30,centre,64,0,RV09,#D2399A,900,1035,#D2399A,#D2399A,1,1
31,ring1,64,1,RV06,#E55DB1,950,1009,#E55DB1,#E55DB1,1,1
32,ring2,64,2,RV04,#EF87C8,1000,983,#EF87C8,#EF87C8,1,1
33,ring4,64,4,RV00,#F7D3EC,1099,931,#F7D3EC,#F7D3EC,1,1
34,ring6,64,6,RV0000,#FDF2FA,1199,879,#FDF2FA,#FDF2FA,1,1
