idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
1,seam@blue-green,30,0,G09,#139828,1928,1543,#139828,#139828,1,1
2,seam@blue-green,30,1,G07,#32B444,1874,1559,#32B444,#32B444,1,1
3,seam@blue-green,31,0,BG99,#39694E,1923,1525,#39694E,#39694E,1,1
4,seam@blue-green,31,1,BG96,#689C7F,1869,1539,#689C7F,#689C7F,1,1
5,seam@blue,38,0,BG09,#00878E,1963,1071,#00878E,#00878E,1,1
6,seam@blue,38,1,BG07,#00939F,1911,1048,#00939F,#00939F,1,1
7,seam@blue,39,0,B99,#445465,1971,1053,#445465,#445465,1,1
8,seam@blue,39,1,B97,#49768F,1920,1029,#49768F,#49768F,1,1
9,seam@blue-violet,47,0,B06,#0085CC,2349,707,#0085CC,#0085CC,1,1
10,seam@blue-violet,47,1,B05,#1E9CD1,2329,654,#1E9CD1,#1E9CD1,1,1
11,seam@blue-violet,48,0,BV99,#222838,2367,700,#222838,#222838,1,1
12,seam@blue-violet,48,1,BV97,#3E485E,2348,647,#3E485E,#3E485E,1,1
13,seam@violet,52,0,BV08,#6850AA,2646,664,#6850AA,#6850AA,1,1
14,seam@violet,52,1,BV04,#8774C4,2650,608,#8774C4,#8774C4,1,1
15,seam@violet,53,0,V99,#261B2A,2665,665,#261B2A,#261B2A,1,1
16,seam@violet,53,1,V95,#775775,2670,609,#775775,#775775,1,1
17,centre,27,0,G46,#67A950,2010,1727,#67A950,#67A950,1,1
18,centre,28,0,G29,#456150,1980,1675,#456150,#456150,1,1
19,ring1,28,1,G28,#00793C,1930,1701,#00793C,#00793C,1,1
20,ring2,28,2,G24,#96CA9A,1880,1727,#96CA9A,#96CA9A,1,1
21,centre,29,0,G19,#009D43,1955,1620,#009D43,#009D43,1,1
22,ring1,29,1,G17,#37B54A,1903,1641,#37B54A,#37B54A,1,1
23,ring2,29,2,G16,#1BB55C,1851,1663,#1BB55C,#1BB55C,1,1
24,ring4,29,4,G12,#CEE8CB,1747,1706,#CEE8CB,#CEE8CB,1,1
25,centre,30,0,G09,#139828,1934,1563,#139828,#139828,1,1
26,ring1,30,1,G07,#32B444,1880,1580,#32B444,#32B444,1,1
27,ring2,30,2,G05,#61C86C,1827,1597,#61C86C,#61C86C,1,1
28,ring4,30,4,G02,#A1DBA7,1720,1631,#A1DBA7,#A1DBA7,1,1
29,ring6,30,6,G000,#DEF2E0,1612,1665,#DEF2E0,#DEF2E0,1,1
30,centre,31,0,BG99,#39694E,1918,1505,#39694E,#39694E,1,1
31,ring1,31,1,BG96,#689C7F,1863,1517,#689C7F,#689C7F,1,1
32,ring2,31,2,BG93,#9DC2AB,1809,1529,#9DC2AB,#9DC2AB,1,1
33,centre,32,0,BG78,#356A64,1908,1445,#356A64,#356A64,1,1
34,ring1,32,1,BG75,#679B94,1852,1453,#679B94,#679B94,1,1
35,ring2,32,2,BG72,#9BC2BC,1796,1460,#9BC2BC,#9BC2BC,1,1
36,centre,33,0,BG57,#3CB0C1,1902,1385,#3CB0C1,#3CB0C1,1,1
37,ring1,33,1,BG53,#87CBD4,1846,1387,#87CBD4,#87CBD4,1,1
38,centre,34,0,BG49,#009FAE,1902,1325,#009FAE,#009FAE,1,1
39,ring1,34,1,BG45,#6AC9D6,1846,1322,#6AC9D6,#6AC9D6,1,1
40,centre,35,0,BG34,#66C4B8,1908,1264,#66C4B8,#66C4B8,1,1
41,ring1,35,1,BG32,#97D6CD,1852,1257,#97D6CD,#97D6CD,1,1
42,centre,36,0,BG23,#7BDEC1,1918,1205,#7BDEC1,#7BDEC1,1,1
43,centre,37,0,BG18,#408784,1934,1146,#408784,#408784,1,1
44,ring1,37,1,BG15,#00BFA4,1880,1129,#00BFA4,#00BFA4,1,1
45,ring2,37,2,BG13,#3ED1B9,1827,1113,#3ED1B9,#3ED1B9,1,1
46,ring4,37,4,BG10,#D7F3E3,1720,1079,#D7F3E3,#D7F3E3,1,1
47,centre,38,0,BG09,#00878E,1955,1090,#00878E,#00878E,1,1
48,ring1,38,1,BG07,#00939F,1903,1068,#00939F,#00939F,1,1
49,ring2,38,2,BG05,#00BACB,1851,1047,#00BACB,#00BACB,1,1
50,ring4,38,4,BG01,#85E6EA,1747,1004,#85E6EA,#85E6EA,1,1
51,ring6,38,6,BG0000,#EAF9F0,1643,961,#EAF9F0,#EAF9F0,1,1
52,centre,39,0,B99,#445465,1980,1035,#445465,#445465,1,1
53,ring1,39,1,B97,#49768F,1930,1009,#49768F,#49768F,1,1
54,ring2,39,2,B95,#64A6C2,1880,983,#64A6C2,#64A6C2,1,1
55,ring4,39,4,B91,#B3DAE4,1781,931,#B3DAE4,#B3DAE4,1,1
56,centre,40,0,B79,#27386E,2010,982,#27386E,#27386E,1,1
57,centre,41,0,B69,#2A3B68,2045,933,#2A3B68,#2A3B68,1,1
58,ring1,41,1,B66,#4C5C8E,2000,899,#4C5C8E,#4C5C8E,1,1
59,ring2,41,2,B63,#8797C4,1956,865,#8797C4,#8797C4,1,1
60,centre,42,0,B52,#859EC9,2084,887,#859EC9,#859EC9,1,1
61,centre,43,0,B45,#4F7CC4,2127,844,#4F7CC4,#4F7CC4,1,1
62,ring1,43,1,B41,#B5CCED,2089,802,#B5CCED,#B5CCED,1,1
63,centre,44,0,B39,#184768,2173,805,#184768,#184768,1,1
64,ring1,44,1,B37,#1C638A,2139,760,#1C638A,#1C638A,1,1
65,ring2,44,2,B34,#63AFD1,2105,716,#63AFD1,#63AFD1,1,1
66,centre,45,0,B29,#00438C,2222,770,#00438C,#00438C,1,1
67,ring1,45,1,B28,#1759A1,2192,723,#1759A1,#1759A1,1,1
68,ring2,45,2,B26,#2B7EC0,2162,676,#2B7EC0,#2B7EC0,1,1
69,ring4,45,4,B23,#76B1DD,2102,581,#76B1DD,#76B1DD,1,1
70,centre,46,0,B18,#007BBD,2275,740,#007BBD,#007BBD,1,1
71,ring1,46,1,B16,#00A3DF,2249,690,#00A3DF,#00A3DF,1,1
72,ring2,46,2,B14,#5BBFE6,2223,640,#5BBFE6,#5BBFE6,1,1
73,centre,47,0,B06,#0085CC,2330,715,#0085CC,#0085CC,1,1
74,ring1,47,1,B05,#1E9CD1,2308,663,#1E9CD1,#1E9CD1,1,1
75,ring2,47,2,B04,#4CB3DC,2287,611,#4CB3DC,#4CB3DC,1,1
