idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
1,seam R|YR,71,0,R08,#F43333,969,477,#F43333,#F43333,1,1
2,seam R|YR,71,1,R05,#ED5D47,1025,486,#ED5D47,#ED5D47,1,1
3,seam R|YR,0,0,YR82,#E0A068,966,496,#E0A068,#E0A068,1,1
4,seam YR|E,5,0,YR09,#F1640A,822,804,#F1640A,#F1640A,1,1
5,seam YR|E,5,1,YR07,#F98434,866,839,#F98434,#F98434,1,1
6,seam YR|E,6,0,E99,#5C310C,810,819,#5C310C,#5C310C,1,1
7,seam YR|E,6,1,E97,#6B3C16,852,855,#6B3C16,#6B3C16,1,1
8,seam E|Y,14,0,E09,#952A12,355,1055,#952A12,#952A12,1,1
9,seam E|Y,14,1,E08,#AD4025,361,1111,#AD4025,#AD4025,1,1
10,seam E|Y,15,0,Y38,#E69D37,336,1057,#E69D37,#E69D37,1,1
11,seam E|Y,15,1,Y35,#FFC125,340,1113,#FFC125,#FFC125,1,1
12,seam Y|YG,18,0,Y08,#FDE000,115,1038,#FDE000,#FDE000,1,1
13,seam Y|YG,18,1,Y06,#FFE91E,101,1092,#FFE91E,#FFE91E,1,1
14,seam Y|YG,19,0,YG99,#4C5C2D,97,1033,#4C5C2D,#4C5C2D,1,1
