idx,kind,col,ring,code,expectHex,x,y,drawn,dot,drawnOk,pickOk
1,seam@green,24,0,YG09,#81B835,2112,863,#81B835,#81B835,1,1
2,seam@green,24,1,YG07,#9FCD34,2072,903,#9FCD34,#9FCD34,1,1
3,seam@green,25,0,G99,#3B5C2A,2098,849,#3B5C2A,#3B5C2A,1,1
4,seam@green,25,1,G97,#52783D,2058,888,#52783D,#52783D,1,1
5,centre,21,0,YG45,#8EC449,2275,981,#8EC449,#8EC449,1,1
6,ring1,21,1,YG41,#CEE9D6,2249,1030,#CEE9D6,#CEE9D6,1,1
7,centre,22,0,YG25,#D6E969,2222,950,#D6E969,#D6E969,1,1
8,ring1,22,1,YG23,#E7F394,2192,998,#E7F394,#E7F394,1,1
9,ring2,22,2,YG21,#F5FBBF,2162,1045,#F5FBBF,#F5FBBF,1,1
10,centre,23,0,YG17,#95C635,2173,916,#95C635,#95C635,1,1
11,ring1,23,1,YG13,#CDE497,2139,960,#CDE497,#CDE497,1,1
12,ring2,23,2,YG11,#E0F0C7,2105,1005,#E0F0C7,#E0F0C7,1,1
13,centre,24,0,YG09,#81B835,2127,877,#81B835,#81B835,1,1
14,ring1,24,1,YG07,#9FCD34,2089,918,#9FCD34,#9FCD34,1,1
15,ring2,24,2,YG06,#90D94B,2051,960,#90D94B,#90D94B,1,1
16,ring4,24,4,YG03,#CAE37C,1975,1043,#CAE37C,#CAE37C,1,1
17,ring6,24,6,YG00,#E8F3C4,1899,1125,#E8F3C4,#E8F3C4,1,1
18,centre,25,0,G99,#3B5C2A,2084,834,#3B5C2A,#3B5C2A,1,1
19,ring1,25,1,G97,#52783D,2042,872,#52783D,#52783D,1,1
20,ring2,25,2,G95,#77995C,2001,910,#77995C,#77995C,1,1
21,ring4,25,4,G93,#A7C48C,1918,986,#A7C48C,#A7C48C,1,1
